ko_id,pathway_id
K00001,map00010
K00002,map00010
K00016,map00010
K00114,map00010
K00121,map00010
K00128,map00010
K00129,map00010
K00131,map00010
K00134,map00010
K00138,map00010
K00149,map00010
K00150,map00010
K00161,map00010
K00162,map00010
K00163,map00010
K00169,map00010
K00170,map00010
K00171,map00010
K00172,map00010
K00174,map00010
K00175,map00010
K00189,map00010
K00382,map00010
K00627,map00010
K00844,map00010
K00845,map00010
K00850,map00010
K00873,map00010
K00886,map00010
K00895,map00010
K00918,map00010
K00927,map00010
K01006,map00010
K01007,map00010
K01084,map00010
K01085,map00010
K01086,map00010
K01222,map00010
K01223,map00010
K01568,map00010
K01596,map00010
K01610,map00010
K01622,map00010
K01623,map00010
K01624,map00010
K01689,map00010
K01785,map00010
K01792,map00010
K01803,map00010
K01810,map00010
K01834,map00010
K01835,map00010
K01837,map00010
K01895,map00010
K01905,map00010
K01913,map00010
K02446,map00010
K02753,map00010
K02777,map00010
K02779,map00010
K02791,map00010
K03103,map00010
K03737,map00010
K03841,map00010
K04022,map00010
K04041,map00010
K04072,map00010
K06859,map00010
K08074,map00010
K10705,map00010
K11389,map00010
K11532,map00010
K11645,map00010
K12406,map00010
K12407,map00010
K12957,map00010
K13810,map00010
K13951,map00010
K13952,map00010
K13953,map00010
K13954,map00010
K13979,map00010
K13980,map00010
K14028,map00010
K14029,map00010
K14085,map00010
K15633,map00010
K15634,map00010
K15635,map00010
K15778,map00010
K15779,map00010
K15916,map00010
K16305,map00010
K16306,map00010
K16370,map00010
K18857,map00010
K18978,map00010
K20118,map00010
K20866,map00010
K21071,map00010
K22224,map00010
K22473,map00010
K22474,map00010
K24012,map00010
K24182,map00010
K25026,map00010
K27394,map00010
K28615,map00010
K28849,map00010
K00024,map00020
K00025,map00020
K00026,map00020
K00030,map00020
K00031,map00020
K00116,map00020
K00161,map00020
K00162,map00020
K00163,map00020
K00164,map00020
K00169,map00020
K00170,map00020
K00171,map00020
K00172,map00020
K00174,map00020
K00175,map00020
K00176,map00020
K00177,map00020
K00189,map00020
K00233,map00020
K00234,map00020
K00235,map00020
K00236,map00020
K00237,map00020
K00239,map00020
K00240,map00020
K00241,map00020
K00242,map00020
K00244,map00020
K00245,map00020
K00246,map00020
K00247,map00020
K00382,map00020
K00627,map00020
K00658,map00020
K01596,map00020
K01610,map00020
K01616,map00020
K01647,map00020
K01648,map00020
K01659,map00020
K01675,map00020
K01676,map00020
K01677,map00020
K01678,map00020
K01679,map00020
K01681,map00020
K01682,map00020
K01774,map00020
K01899,map00020
K01900,map00020
K01902,map00020
K01903,map00020
K01958,map00020
K01959,map00020
K01960,map00020
K03737,map00020
K05942,map00020
K15230,map00020
K15231,map00020
K17753,map00020
K18118,map00020
K18859,map00020
K18860,map00020
K25801,map00020
K25995,map00020
K25996,map00020
K26318,map00020
K27797,map00020
K27802,map00020
K00032,map00030
K00033,map00030
K00034,map00030
K00036,map00030
K00090,map00030
K00115,map00030
K00117,map00030
K00131,map00030
K00615,map00030
K00616,map00030
K00850,map00030
K00851,map00030
K00852,map00030
K00874,map00030
K00895,map00030
K00918,map00030
K00948,map00030
K01053,map00030
K01057,map00030
K01086,map00030
K01619,map00030
K01621,map00030
K01622,map00030
K01623,map00030
K01624,map00030
K01625,map00030
K01690,map00030
K01783,map00030
K01807,map00030
K01808,map00030
K01810,map00030
K01835,map00030
K01839,map00030
K02446,map00030
K03738,map00030
K03841,map00030
K04041,map00030
K05308,map00030
K05774,map00030
K06151,map00030
K06152,map00030
K06859,map00030
K07404,map00030
K08093,map00030
K08094,map00030
K11214,map00030
K11395,map00030
K11441,map00030
K11529,map00030
K11532,map00030
